"HRCOUNTER_DATA_SOURCE_MENU_PULSOID_DEAUTHORIZE_MODAL_TEXT",,"Are you sure you want to deauthorize Pulsoid?
This will invalidate the Pulsoid token.",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_PULSOID_DEAUTHORIZE_MODAL_ACTION",,"Deauthorize",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_DATA_SOURCE_MENU_HYPERATE_ID_LABEL",,"HypeRate ID",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_SERVICE_STATUS_MENU_PANEL_TITLE",,"Built-in Services",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_SERVICE_STATUS_MENU_TAB_HTTP",,"HTTP",,,,,,,,,,,,,,,,,,,,,,,,,,,
"HRCOUNTER_SERVICE_STATUS_MENU_TAB_OSC",,"OSC",,,,,,,,,,,,,,,,,,,,,,,,,,,
"HRCOUNTER_SERVICE_STATUS_MENU_HTTP_ENABLE_LABEL",,"Enable HTTP Server",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_SERVICE_STATUS_MENU_HTTP_ENABLE_HINT",,"Enable the built-in HTTP server",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_SERVICE_STATUS_MENU_OSC_ENABLE_LABEL",,"Enable OSC Server",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,
"HRCOUNTER_SERVICE_STATUS_MENU_OSC_ENABLE_HINT",,"Enable the built-in OSC server",,,,,,,,,,,,,,,,,"占位符",,,,,,,,,,


